Ca;Co;Cu;NO3;I;SO4;Cl;B;Zn;Mn;Mo;Fe;K;Mg;Na;PO4;NH4;Al;Ni;chlorophyll_percent;node_count;side_shoots_count;plant_height;true_leaves_count;reproduction_coefficient
4.0708497281538495e-05;6.505747911093461e-05;3.5613916201496824e-05;9.63767649942309e-05;9.361469865985302e-05;8.480279026572813e-05;9.20300270572748e-05;4.491396884593911e-05;5.3643039678949214e-05;7.420925925582444e-05;6.961459249385411e-05;8.906785956054708e-05;7.163310272566953e-05;9.978847082284606e-05;3.48505799831591e-05;8.32997742239418e-05;6.976348228326643e-05;6.913864452150186e-05;3.258355948449989e-05;0.3;71;53;50;60;2409718
8.246809659251492e-05;3.478092079021931e-05;6.780161525590636e-05;5.657319639957911e-05;2.670282701694213e-05;8.78629986355158e-05;7.974260216069282e-05;6.584518346584255e-05;8.505817290942419e-05;8.672942009598024e-05;7.083629767150348e-05;8.370133283636721e-05;6.974714616692837e-05;6.801407717603004e-05;6.186113782151844e-05;7.527166395576413e-05;1.586051052930737e-05;8.808707591989285e-05;8.71843527745232e-05;0.3;67;54;42;60;1595171
9.599849082376752e-05;7.680899052191403e-05;2.080872148501103e-05;3.841891520539801e-05;5.440122913631098e-05;6.129858620636884e-05;4.681838960287671e-05;8.101266350119592e-05;7.676060194582317e-05;5.051579186281668e-05;8.544293867817305e-05;7.510895304423859e-05;7.785818487206434e-05;9.564007794334168e-05;2.664669412092027e-05;2.676481623668492e-05;8.8895225569064e-05;7.722263733856795e-05;9.265455414356274e-05;0.3;67;50;44;61;6268169
5.452534462619704e-05;7.278256691739439e-05;6.218560854845759e-05;7.605322021044364e-05;7.256918489147458e-05;6.920306951531133e-05;8.215398609256521e-05;6.456906684495385e-05;4.0241849425698206e-05;4.719091099145876e-05;7.167247826814506e-05;8.76306029666794e-05;2.722188008397757e-05;3.420767959710708e-05;9.307393963624127e-05;5.785117924094454e-05;1.7896181713500105e-05;6.636951389123828e-05;9.907621555393796e-05;0.3;62;47;43;54;3519549
5.718696893717321e-05;8.943028933186481e-05;4.7519771945694944e-05;9.45117507342546e-05;2.144582293241616e-05;7.4159105774030735e-06;8.914538731447494e-05;8.476811979622166e-05;9.925898759338448e-05;6.793934881124261e-05;9.366879266671497e-05;8.269490250841108e-05;8.444263331200869e-05;5.691415704542683e-05;3.823645979167109e-05;9.345580725432818e-05;4.321171756158945e-05;5.388193672496691e-05;4.4611430712518775e-05;0.3;65;47;41;63;2573855
8.014303822086451e-05;7.20998420044904e-05;6.998286910824209e-05;9.58554007949528e-05;5.964561063072833e-05;6.363026718190557e-05;8.492687504381812e-05;6.698908678584069e-05;7.329326220175226e-05;2.3416868619664244e-05;3.712669241150709e-05;1.4730134571189302e-05;5.057654423348055e-05;4.557274006802464e-05;9.971628142794568e-05;6.112086528155425e-05;7.864448231944233e-05;3.340146707576542e-05;8.315453313427965e-05;0.3;60;40;47;65;2411454
9.326170171703338e-05;4.7843683804087656e-05;5.612056530988694e-05;5.960985276700958e-05;4.0997972588656686e-05;8.384826905658242e-05;1.851759388450592e-05;5.54842190371608e-05;7.222332561871941e-05;9.039761718765772e-05;8.839183964342784e-05;5.08740289430142e-05;6.431614511633416e-05;3.94237736129301e-05;4.6817776288020034e-05;9.062657925730496e-05;9.30703993192474e-05;8.954140580670198e-05;1.3837086181363823e-05;0.3;63;44;42;57;1921980
9.97513745661896e-05;4.935003640726167e-05;1.7839825192858106e-05;5.130694228634381e-05;8.1401673551993e-05;7.768603268982815e-05;7.88581765108471e-05;7.080237839979117e-05;2.5421782906668826e-05;8.620840858402315e-05;8.93443465376265e-05;1.9415269661854908e-05;1.3045563655139391e-05;9.75604968589112e-05;8.683239636503679e-05;8.932361472099467e-05;8.863763846243952e-05;5.416868240337284e-05;6.464017366657997e-05;0.3;74;50;48;58;1839511
8.891305357048584e-05;4.67849183292043e-05;6.574443271774648e-05;8.950667229362141e-05;3.929507649913531e-05;9.617624783454688e-05;4.15786062069183e-05;6.010826653932157e-05;7.09804713272372e-05;9.505920130759384e-05;2.4461627405226607e-05;7.461309782386423e-05;5.208155861440822e-05;2.685571406206411e-05;7.766068397963907e-05;5.522222801738466e-05;6.609738206496758e-05;3.2290106857790104e-05;4.812739518276051e-05;0.3;57;41;41;57;1755298
6.426396706650265e-05;8.900072746940578e-05;5.3539752742547687e-05;2.7729085626842342e-05;8.800767088838444e-05;5.414728274130872e-05;9.061375875672343e-05;4.016781395058122e-06;3.975157515412355e-05;9.478050183624684e-05;2.496500927583028e-05;9.415362460384926e-05;9.5390246112925e-05;8.82142314225861e-05;5.636680450932987e-05;6.469394490806385e-05;8.696169984498692e-05;7.758970823891845e-05;6.300938494554116e-05;0.3;69;48;45;62;1705774
